date,station,precip_mm
2024-04-01,GHCND:USW00013739,1.17
2024-04-01,GHCND:USW00013781,1.98
2024-04-01,GHCND:USW00014711,1.75
2024-04-01,GHCND:USW00014712,1.1199999999999999
2024-04-01,GHCND:USW00014736,1.8
2024-04-01,GHCND:USW00014737,1.1400000000000001
2024-04-01,GHCND:USW00014751,1.6800000000000002
2024-04-01,GHCND:USW00014762,2.13
2024-04-01,GHCND:USW00014767,1.24
2024-04-01,GHCND:USW00014770,1.02
2024-04-01,GHCND:USW00014777,0.22999999999999998
2024-04-01,GHCND:USW00014778,0.18
2024-04-01,GHCND:USW00014860,0.22999999999999998
2024-04-01,GHCND:USW00054737,1.9300000000000002
2024-04-01,GHCND:USW00054782,0.9099999999999999
2024-04-01,GHCND:USW00054786,0.79
2024-04-01,GHCND:USW00054789,0.2
2024-04-01,GHCND:USW00054792,0.74
2024-04-01,GHCND:USW00064705,1.1400000000000001
2024-04-01,GHCND:USW00093778,1.7
2024-04-01,GHCND:USW00094732,0.76
2024-04-01,GHCND:USW00094823,1.8800000000000001
2024-04-01,GHCND:USW00094868,1.47
2024-04-02,GHCND:US1PAAD0002,2.77
2024-04-02,GHCND:US1PAAD0006,2.7399999999999998
2024-04-02,GHCND:US1PAAD0008,2.3600000000000003
2024-04-02,GHCND:US1PAAD0011,2.9
2024-04-02,GHCND:US1PAAD0012,2.9
2024-04-02,GHCND:US1PAAD0021,3.2299999999999995
2024-04-02,GHCND:US1PAAD0024,2.62
2024-04-02,GHCND:US1PAAD0026,4.0600000000000005
2024-04-02,GHCND:US1PAAD0030,2.0100000000000002
2024-04-02,GHCND:US1PAAD0031,1.78
2024-04-02,GHCND:US1PAAD0043,2.41
2024-04-02,GHCND:US1PAAD0045,2.29
2024-04-02,GHCND:US1PAAD0071,2.2600000000000002
2024-04-02,GHCND:US1PAAD0074,2.5100000000000002
2024-04-02,GHCND:US1PAAD0075,2.69
2024-04-02,GHCND:US1PAAD0076,2.59
2024-04-02,GHCND:US1PAAD0081,2.4899999999999998
2024-04-02,GHCND:US1PAAD0082,2.62
2024-04-02,GHCND:US1PAAL0001,1.22
2024-04-02,GHCND:US1PAAL0003,1.19
2024-04-02,GHCND:US1PAAL0043,3.07
2024-04-02,GHCND:US1PAAL0064,4.8
2024-04-02,GHCND:US1PAAL0069,2.9
2024-04-02,GHCND:US1PAAL0070,2.67
2024-04-02,GHCND:US1PAAL0074,3.3299999999999996
2024-04-02,GHCND:US1PAAL0092,3.4
2024-04-02,GHCND:US1PAAL0108,3.94
2024-04-02,GHCND:US1PAAL0110,2.7399999999999998
2024-04-02,GHCND:US1PAAL0130,2.77
2024-04-02,GHCND:US1PAAL0137,2.77
2024-04-02,GHCND:US1PAAL0139,3.5799999999999996
2024-04-02,GHCND:US1PAAL0145,3.7299999999999995
2024-04-02,GHCND:US1PAAL0148,3.1
2024-04-02,GHCND:US1PAAL0149,4.5
2024-04-02,GHCND:US1PAAL0150,3.28
2024-04-02,GHCND:US1PAAL0155,1.73
2024-04-02,GHCND:US1PAAL0158,5.720000000000001
2024-04-02,GHCND:US1PAAL0161,1.78
2024-04-02,GHCND:US1PAAL0168,1.45
2024-04-02,GHCND:US1PAAR0007,2.87
2024-04-02,GHCND:US1PAAR0008,3.7600000000000002
2024-04-02,GHCND:US1PAAR0012,3.5100000000000002
2024-04-02,GHCND:US1PAAR0021,2.3600000000000003
2024-04-02,GHCND:US1PABD0005,2.84
2024-04-02,GHCND:US1PABD0006,3.05
2024-04-02,GHCND:US1PABF0020,0.13
2024-04-02,GHCND:US1PABK0005,1.3199999999999998
2024-04-02,GHCND:US1PABK0015,2.67
2024-04-02,GHCND:US1PABK0018,1.3699999999999999
2024-04-02,GHCND:US1PABK0026,1.22
2024-04-02,GHCND:US1PABK0033,1.47
2024-04-02,GHCND:US1PABK0035,1.09
2024-04-02,GHCND:US1PABK0037,0.13
2024-04-02,GHCND:US1PABK0039,1.45
2024-04-02,GHCND:US1PABK0044,1.3
2024-04-02,GHCND:US1PABK0052,1.17
2024-04-02,GHCND:US1PABK0055,1.19
2024-04-02,GHCND:US1PABK0058,1.6
2024-04-02,GHCND:US1PABK0061,1.73
2024-04-02,GHCND:US1PABK0063,0.99
2024-04-02,GHCND:US1PABK0073,1.35
2024-04-02,GHCND:US1PABK0076,1.27
2024-04-02,GHCND:US1PABL0010,2.6399999999999997
2024-04-02,GHCND:US1PABR0002,2.13
2024-04-02,GHCND:US1PABR0005,2.18
2024-04-02,GHCND:US1PABR0007,3.18
2024-04-02,GHCND:US1PABR0008,2.16
